cid,corrupted_dice,corrupted_gt,corrupted_sharp,corrupted_mae,unet_dice,unet_gt,unet_sharp,unet_mae,ttunet_dice,ttunet_gt,ttunet_sharp,ttunet_mae,diff_mean_dice,diff_mean_gt,diff_mean_sharp,diff_mean_mae,diff_sample_dice,diff_sample_gt,diff_sample_sharp,diff_sample_mae,clean_gt
85,0.6658335416154315,0.4402187422328608,56.856468200683594,119.04500579833984,0.6992715920923536,0.42362783622838934,56.02195358276367,75.15286254882812,0.7428718212182305,0.4318468127999095,59.00999450683594,80.54277038574219,0.719671710695769,0.42119838872177595,60.70096206665039,78.12861633300781,0.5393034825885927,0.25609065155912736,71.549072265625,84.23804473876953,0.443444569429517
95,0.6780538302285765,0.46600642398358405,37.23849868774414,90.11334228515625,0.7037609479657296,0.4849132176241857,34.6518440246582,50.770938873291016,0.7205034084957511,0.46968472110014864,34.939937591552734,53.78118133544922,0.693018480493601,0.48294243070431375,39.893516540527344,52.442222595214844,0.7092901878921991,0.46344086021577496,49.914363861083984,58.80629348754883,0.4985321590612509
160,0.3509096515592016,0.3442360808266547,35.137413024902344,76.6753158569336,0.36835599505757616,0.3393480791627774,33.3710823059082,48.92018508911133,0.3673723536756931,0.3379088785056397,32.82539367675781,47.96735763549805,0.3666666666686966,0.33451746595717213,37.30485153198242,50.89921951293945,0.38216560509761255,0.3172684695583664,46.24488067626953,56.426998138427734,0.3788584740836068
162,0.5540112167774836,0.4312957157792172,46.887840270996094,87.53966522216797,0.61095541401373,0.3839572192521605,43.81789016723633,52.927955627441406,0.6331176611559235,0.3892339544521361,46.6078987121582,52.62147903442383,0.6120358514734647,0.37506702412952403,48.72587203979492,55.17704772949219,0.6998922413801189,0.30521535709466735,58.18889236450195,61.203102111816406,0.3248796982711342
166,0.7360114777624677,0.46369163703170385,25.207277297973633,55.10955810546875,0.7752176139278668,0.42483118114035673,24.820653915405273,34.372745513916016,0.7404983639573609,0.4332393041849632,25.435792922973633,33.72062683105469,0.7656697009108825,0.4133651551319649,29.504226684570312,36.25373840332031,0.77576067501975,0.42126450390786013,37.980464935302734,41.554290771484375,0.44892693796241473
171,0.48638920135098673,0.29846526655967437,22.943700790405273,64.57716369628906,0.5752840909100964,0.30837550346038584,22.347003936767578,39.158390045166016,0.5889688249410336,0.3096894796974663,22.138832092285156,41.102691650390625,0.5605402797888072,0.3000520562214471,26.854476928710938,41.51102066040039,0.5532123590006052,0.29569046870158777,35.648681640625,46.38193130493164,0.41906596052054007
182,0.45819861431995795,0.41156069364237435,27.442007064819336,69.5259017944336,0.5431342521706403,0.3979384239802008,26.368349075317383,38.94114685058594,0.4902936784482571,0.39261340827058394,27.74247932434082,43.08536148071289,0.5209086215809992,0.3880474826041915,31.5800838470459,42.064476013183594,0.4901271301068701,0.34340044742821113,41.54817199707031,48.6362419128418,0.5353341028606703
185,0.6624685138546128,0.4285554436618232,26.666236877441406,55.979732513427734,0.7337278106514711,0.41025641025708526,26.041698455810547,36.49332046508789,0.723831242874062,0.38957700397360406,28.33878517150879,46.48405838012695,0.7370544720920488,0.4076905258288073,30.979602813720703,38.343101501464844,0.7020259503762758,0.3885127247263734,40.75409698486328,45.09208679199219,0.4775487465186879
186,0.31718898385889277,0.44951358604587466,22.538400650024414,47.88118362426758,0.5137101287100521,0.388091440724104,24.24317741394043,28.974224090576172,0.4463840399037009,0.358974358975533,25.002885818481445,28.567047119140625,0.4439746300240805,0.4331941544895038,27.992862701416016,31.280771255493164,0.43395098625562495,0.3667932718405375,35.964481353759766,36.80940246582031,0.1901815181534856
187,0.7269611576547468,0.47823795974340993,22.139677047729492,46.842628479003906,0.769445552453591,0.4624364933526511,21.366758346557617,30.13997459411621,0.7501435956351711,0.4665961945037351,24.257726669311523,36.12993621826172,0.7930612244902182,0.44894385465749265,26.29823875427246,32.437862396240234,0.7424928013168604,0.44136718320755974,36.07985305786133,39.13901901245117,0.5187946567261894
